ID,Excerpt,SY1,SY2,CO1,CO2,LQ Code
695,The interface ought to support multi-language input.,interface,,support multi-language input,,INC
696,Data synchronization must operate seamlessly across devices.,Data synchronization,,operate seamlessly,across devices,INC
697,Password policies should enforce complexity requirements.,Password policies,,enforce complexity requirements,,INC
698,Error messages need to be informative and user-friendly.,Error messages,,informative,user-friendly,INC
699,Application loading times shall not exceed five seconds.,Application loading times,,not exceed,five seconds,INC
700,Maintenance tasks must be scheduled during off-peak hours.,Maintenance tasks,,scheduled,during off-peak hours,INC
701,Audit trails will provide a record of all user activities.,Audit trails,,provide a record,of all user activities,INC
702,Project timelines should be adjustable by the project manager.,Project timelines,,adjustable,by the project manager,INC
703,User interface must adapt to different screen sizes.,User interface,,adapt,to different screen sizes,INC
704,Customer profiles shall allow for adding multiple addresses.,Customer profiles,,allow for adding,multiple addresses,INC
705,Network security protocols need to be updated annually.,Network security protocols,,updated,annually,INC
706,Storage systems should encrypt data at rest.,Storage systems,,encrypt data,at rest,INC
707,Users shall be able to recover their passwords via email.,Users,,recover their passwords,via email,INC
708,The system must verify user identities before access is granted.,system,,verify user identities,before access is granted,INC
709,Equipment reservations require manager approval.,Equipment reservations,,require,manager approval,INC
710,Flight information must be current and accurate.,Flight information,,current,accurate,INC
711,The software update process shall be automated.,software update process,,automated,,INC
712,Personalized learning paths are to be generated for each student.,Personalized learning paths,,generated,for each student,INC
713,System backups will occur without interrupting user activity.,System backups,,occur,without interrupting user activity,INC
